1,And,Andromeda,アンドロメダ
2,Ant,Antlia,ポンプ
3,Aps,Apus,ふうちょう
4,Aql,Aquila,わし
5,Aqr,Aquarius,みずがめ
6,Ara,Ara,さいだん
7,Ari,Aries,おひつじ
8,Aur,Auriga,ぎょしゃ
9,Boo,Bootes,うしかい
10,Cae,Caelum,ちょうこくぐ
11,Cam,Camelopardalis,きりん
12,Cap,Capricornus,やぎ
13,Car,Carina,りゅうこつ
14,Cas,Cassiopeia,カシオペヤ
15,Cen,Centaurus,ケンタウルス
16,Cep,Cepheus,ケフェウス
17,Cet,Cetus,くじら
18,Cha,Chamaeleon,カメレオン
19,Cir,Circinus,コンパス
20,CMa,Canis Major,おおいぬ
21,CMi,Canis Minor,こいぬ
22,Cnc,Cancer,かに
23,Col,Columba,はと
24,Com,Coma Berenices,かみのけ
25,CrA,Corona Australis,みなみのかんむり
26,CrB,Corona Borealis,かんむり
27,Crt,Crater,コップ
28,Cru,Crux,みなみじゅうじ
29,Crv,Corvus,からす
30,CVn,Canes Venatici,りょうけん
31,Cyg,Cygnus,はくちょう
32,Del,Delphinus,いるか
33,Dor,Dorado,かじき
34,Dra,Draco,りゅう
35,Equ,Equuleus,こうま
36,Eri,Eridanus,エリダヌス
37,For,Fornax,ろ
38,Gem,Gemini,ふたご
39,Gru,Grus,つる
40,Her,Hercules,ヘルクレス
41,Hor,Horologium,とけい
42,Hya,Hydra,うみへび
43,Hyi,Hydrus,みずへび
44,Ind,Indus,インディアン
45,Lac,Lacerta,とかげ
46,Leo,Leo,しし
47,Lep,Lepus,うさぎ
48,Lib,Libra,てんびん
49,LMi,Leo Minor,こじし
50,Lup,Lupus,おおかみ
51,Lyn,Lynx,やまねこ
52,Lyr,Lyra,こと
53,Men,Mensa,テーブルさん
54,Mic,Microscopium,けんびきょう
55,Mon,Monoceros,いっかくじゅう
56,Mus,Musca,はえ
57,Nor,Norma,じょうぎ
58,Oct,Octans,はちぶんぎ
59,Oph,Ophiuchus,へびつかい
60,Ori,Orion,オリオン
61,Pav,Pavo,くじゃく
62,Peg,Pegasus,ペガスス
63,Per,Perseus,ペルセウス
64,Phe,Phoenix,ほうおう
65,Pic,Pictor,がか
66,PsA,Piscis Austrinus,みなみのうお
67,Psc,Pisces,うお
68,Pup,Puppis,とも
69,Pyx,Pyxis,らしんばん
70,Ret,Reticulum,レチクル
71,Scl,Sculptor,ちょうこくしつ
72,Sco,Scorpius,さそり
73,Sct,Scutum,たて
74,Ser,Serpens(Caput),へび(頭)
75,Ser,Serpens(Cauda),へび(尾)
76,Sex,Sextans,ろくぶんぎ
77,Sge,Sagitta,や
78,Sgr,Sagittarius,いて
79,Tau,Taurus,おうし
80,Tel,Telescopium,ぼうえんきょう
81,TrA,Triangulum Australe,みなみのさんかく
82,Tri,Triangulum,さんかく
83,Tuc,Tucana,きょしちょう
84,UMa,Ursa Major,おおぐま
85,UMi,Ursa Minor,こぐま
86,Vel,Vela,ほ
87,Vir,Virgo,おとめ
88,Vol,Volans,とびうお
89,Vul,Vulpecula,こぎつね
